bot_id,x,y
Run4group0subject0,-0.9575240534080935,0.2883534066816873
Run4group0subject4,0.7374036380554232,0.675452348121336
Run4group3subject2,0.9989262020180294,0.04632971963907714
Run4group0subject5,-0.35063601444558024,-0.9365118180640962
Run8bot13,0.04998261998883397,-0.9987500877091584
Run8bot7,-0.7895898103579649,0.6136350147920773
Run6group5subject1,0.9495284636042288,-0.3136808837104883
Run8bot6,-0.3123677605175811,0.9499612529936319
Run8bot1,0.008523648261815632,0.9999636730503308
Run8bot9,-0.9903890069937594,-0.13830985079131175
Run6group5subject4,-0.9095812080273955,-0.41552620375064653
Run8bot4,0.48544664717173497,0.8742662939572364
Run6group5subject3,0.5824956016568638,-0.8128338539027569
Run5group7subject1,-0.7807450202461075,-0.6248497526293063
Run6group5subject2,0.5791642948041723,0.815210843661924
Run8bot5,-0.8574549309198676,0.5145590747826774
Run8bot2,0.5078667675510218,-0.8614356310353529
Run6group5subject5,-0.954323861664744,0.29877410707303703
