,id,x,y,size,frame,track
0,1,864.5,2.3,20,5,1
1,1,857.8260869565217,5.304347826086956,115,6,1
2,1,848.0,14.5,2,7,1
3,1,839.8333333333334,19.72222222222222,18,8,1
4,1,829.7142857142857,26.0,7,9,1
5,1,820.8,32.2,15,10,1
6,1,812.3478260869565,38.82608695652174,23,11,1
7,1,804.4615384615385,46.07692307692308,39,12,1
8,1,796.925,53.35,40,13,1
9,1,788.65625,60.96875,32,14,1
10,1,780.0952380952381,68.83333333333333,42,15,1
11,1,772.6585365853658,76.95121951219512,41,16,1
12,1,764.4285714285714,85.3265306122449,49,17,1
13,1,757.7962962962963,93.29629629629628,54,18,1
14,1,751.0769230769231,102.36923076923075,65,19,1
15,1,743.063829787234,111.53191489361704,47,20,1
16,1,733.8387096774194,121.7741935483871,31,21,1
17,1,726.8846153846154,131.05769230769232,52,22,1
18,1,718.8139534883721,140.95348837209303,43,23,1
19,1,710.9019607843137,151.13725490196077,51,24,1
20,1,702.936170212766,160.5531914893617,47,25,1
21,1,695.625,170.05357142857142,56,26,1
22,1,689.0689655172414,180.0344827586207,58,27,1
23,1,681.9516129032259,189.0,62,28,1
24,1,674.6949152542373,197.864406779661,59,29,1
25,1,667.3965517241379,207.1206896551724,58,30,1
26,1,660.4307692307692,216.01538461538465,65,31,1
27,1,652.6857142857143,225.17142857142852,35,32,1
28,1,645.2592592592592,235.4814814814815,27,33,1
29,1,638.9090909090909,245.0909090909091,22,34,1
30,1,632.7,255.15,20,35,1
31,1,626.3030303030303,265.09090909090907,33,36,1
32,1,619.59375,275.4375,32,37,1
33,1,612.1764705882352,285.6274509803921,51,38,1
34,1,605.1442307692307,296.0,104,39,1
35,1,599.3166666666667,302.9,60,40,1
36,1,591.0,313.5,48,41,1
37,1,583.551724137931,322.6896551724138,29,42,1
38,1,576.1590909090909,332.3181818181818,44,43,1
39,1,568.7647058823529,342.97058823529414,68,44,1
40,1,561.7457627118644,353.1186440677966,59,45,1
41,1,555.2686567164179,363.4179104477612,67,46,1
42,1,548.5714285714286,373.7619047619048,21,47,1
43,1,541.75,384.375,8,48,1
44,1,527.1,401.05,20,50,1
45,1,512.1212121212121,422.1515151515151,33,52,1
46,1,505.0,433.0,81,53,1
47,1,497.5151515151515,443.3939393939394,33,54,1
48,1,473.1666666666667,471.8333333333333,6,57,1
49,1,464.5,481.0,2,58,1
50,1,454.75,489.95,20,59,1
51,1,446.35849056603774,497.35849056603774,53,60,1
52,1,437.4337349397591,505.68674698795184,83,61,1
53,1,427.8732394366197,514.4647887323944,71,62,1
54,1,418.3958333333333,523.125,48,63,1
55,1,410.7843137254902,531.6078431372549,51,64,1
56,1,402.4193548387097,540.9032258064516,62,65,1
57,1,394.1929824561403,548.8771929824561,57,66,1
58,1,385.0483870967742,557.258064516129,62,67,1
59,1,374.78688524590166,566.2131147540983,61,68,1
60,1,366.3928571428572,573.125,56,69,1
61,1,356.22727272727275,581.530303030303,66,70,1
62,1,346.27272727272725,590.6515151515151,66,71,1
63,1,339.0740740740741,600.4074074074074,27,72,1
64,1,335.2058823529412,612.2941176470588,34,73,1
65,1,327.5471698113208,625.3018867924528,53,74,1
66,1,316.9516129032258,635.0645161290323,62,75,1
67,1,307.4078947368421,642.6842105263158,76,76,1
68,1,296.9,651.0333333333333,90,77,1
69,1,286.8941176470588,659.3058823529411,85,78,1
70,1,276.51851851851853,667.6203703703703,108,79,1
71,1,265.9142857142857,676.1,70,80,1
72,1,255.96875,683.9583333333334,96,81,1
73,1,245.84615384615384,692.021978021978,91,82,1
74,1,236.46153846153845,701.054945054945,91,83,1
75,1,227.48684210526315,709.0526315789474,76,84,1
76,1,217.20338983050848,716.1186440677966,59,85,1
77,1,206.6,725.8235294117648,85,86,1
78,1,197.3809523809524,733.0793650793651,63,87,1
